gain,delay,p_mix,phase,phase_code,mean_abs_jerk
1.0,1,0.3,RECOVERABLE,1,0.002578
1.02,1,0.3,RECOVERABLE,1,0.003261
1.04,1,0.3,RECOVERABLE,1,0.004538
1.06,1,0.3,IRRECOVERABLE,3,0.009526
1.08,1,0.3,IRRECOVERABLE,3,0.040816
1.0,2,0.3,RECOVERABLE,1,0.004762
1.02,2,0.3,IRRECOVERABLE,3,0.007391
1.04,2,0.3,IRRECOVERABLE,3,0.017708
1.06,2,0.3,IRRECOVERABLE,3,0.072941
1.08,2,0.3,IRRECOVERABLE,3,0.418611
1.0,3,0.3,RECOVERABLE,1,0.005885
1.02,3,0.3,IRRECOVERABLE,3,0.00967
1.04,3,0.3,IRRECOVERABLE,3,0.021787
1.06,3,0.3,IRRECOVERABLE,3,0.074745
1.08,3,0.3,IRRECOVERABLE,3,0.345005
1.0,4,0.3,RECOVERABLE,1,0.005166
1.02,4,0.3,IRRECOVERABLE,3,0.010006
1.04,4,0.3,IRRECOVERABLE,3,0.027692
1.06,4,0.3,IRRECOVERABLE,3,0.109198
1.08,4,0.3,IRRECOVERABLE,3,0.555556
1.0,5,0.3,RECOVERABLE,1,0.005118
1.02,5,0.3,RECOVERABLE,1,0.008869
1.04,5,0.3,IRRECOVERABLE,3,0.021221
1.06,5,0.3,IRRECOVERABLE,3,0.071185
1.08,5,0.3,IRRECOVERABLE,3,0.299082
1.0,6,0.3,RECOVERABLE,1,0.005268
1.02,6,0.3,IRRECOVERABLE,3,0.011166
1.04,6,0.3,IRRECOVERABLE,3,0.031011
1.06,6,0.3,IRRECOVERABLE,3,0.10996
1.08,6,0.3,IRRECOVERABLE,3,0.467444
1.0,7,0.3,RECOVERABLE,1,0.007357
1.02,7,0.3,IRRECOVERABLE,3,0.014459
1.04,7,0.3,IRRECOVERABLE,3,0.041895
1.06,7,0.3,IRRECOVERABLE,3,0.182122
1.08,7,0.3,IRRECOVERABLE,3,1.008153
1.0,8,0.3,RECOVERABLE,1,0.005144
1.02,8,0.3,IRRECOVERABLE,3,0.009939
1.04,8,0.3,IRRECOVERABLE,3,0.025097
1.06,8,0.3,IRRECOVERABLE,3,0.086567
1.08,8,0.3,IRRECOVERABLE,3,0.375431
1.0,9,0.3,RECOVERABLE,1,0.00612
1.02,9,0.3,IRRECOVERABLE,3,0.011694
1.04,9,0.3,IRRECOVERABLE,3,0.033121
1.06,9,0.3,IRRECOVERABLE,3,0.139697
1.08,9,0.3,IRRECOVERABLE,3,0.769842
1.0,10,0.3,RECOVERABLE,1,0.006359
1.02,10,0.3,IRRECOVERABLE,3,0.011811
1.04,10,0.3,IRRECOVERABLE,3,0.030758
1.06,10,0.3,IRRECOVERABLE,3,0.116366
1.08,10,0.3,IRRECOVERABLE,3,0.585273
1.0,0,0.35,RECOVERABLE,1,0.002393
1.02,0,0.35,RECOVERABLE,1,0.002998
1.04,0,0.35,RECOVERABLE,1,0.004223
1.06,0,0.35,RECOVERABLE,1,0.007602
1.08,0,0.35,IRRECOVERABLE,3,0.022151
1.0,1,0.35,RECOVERABLE,1,0.002393
1.02,1,0.35,RECOVERABLE,1,0.002998
1.04,1,0.35,RECOVERABLE,1,0.004223
1.06,1,0.35,RECOVERABLE,1,0.007602
1.08,1,0.35,IRRECOVERABLE,3,0.022151
1.0,2,0.35,RECOVERABLE,1,0.004164
1.02,2,0.35,RECOVERABLE,1,0.005894
1.04,2,0.35,IRRECOVERABLE,3,0.013338
1.06,2,0.35,IRRECOVERABLE,3,0.056003
1.08,2,0.35,IRRECOVERABLE,3,0.329962
1.0,3,0.35,RECOVERABLE,1,0.005512
1.02,3,0.35,IRRECOVERABLE,3,0.008613
1.04,3,0.35,IRRECOVERABLE,3,0.01799
1.06,3,0.35,IRRECOVERABLE,3,0.056085
1.08,3,0.35,IRRECOVERABLE,3,0.247831
1.0,4,0.35,RECOVERABLE,1,0.004848
1.02,4,0.35,IRRECOVERABLE,3,0.008996
1.04,4,0.35,IRRECOVERABLE,3,0.02407
1.06,4,0.35,IRRECOVERABLE,3,0.091594
1.08,4,0.35,IRRECOVERABLE,3,0.454445
1.0,5,0.35,RECOVERABLE,1,0.00468
1.02,5,0.35,RECOVERABLE,1,0.008059
1.04,5,0.35,IRRECOVERABLE,3,0.019263
1.06,5,0.35,IRRECOVERABLE,3,0.063878
1.08,5,0.35,IRRECOVERABLE,3,0.263025
1.0,6,0.35,RECOVERABLE,1,0.004551
1.02,6,0.35,IRRECOVERABLE,3,0.009434
1.04,6,0.35,IRRECOVERABLE,3,0.026679
1.06,6,0.35,IRRECOVERABLE,3,0.099611
1.08,6,0.35,IRRECOVERABLE,3,0.46008
1.0,7,0.35,RECOVERABLE,1,0.007063
1.02,7,0.35,IRRECOVERABLE,3,0.013636
1.04,7,0.35,IRRECOVERABLE,3,0.03938
1.06,7,0.35,IRRECOVERABLE,3,0.175616
1.08,7,0.35,IRRECOVERABLE,3,0.995856
1.0,8,0.35,RECOVERABLE,1,0.004773
1.02,8,0.35,IRRECOVERABLE,3,0.009658
1.04,8,0.35,IRRECOVERABLE,3,0.027349
1.06,8,0.35,IRRECOVERABLE,3,0.106926
1.08,8,0.35,IRRECOVERABLE,3,0.538293
1.0,9,0.35,RECOVERABLE,1,0.005756
1.02,9,0.35,IRRECOVERABLE,3,0.010749
1.04,9,0.35,IRRECOVERABLE,3,0.029076
1.06,9,0.35,IRRECOVERABLE,3,0.11903
1.08,9,0.35,IRRECOVERABLE,3,0.651852
1.0,10,0.35,RECOVERABLE,1,0.006151
1.02,10,0.35,IRRECOVERABLE,3,0.011106
1.04,10,0.35,IRRECOVERABLE,3,0.027331
1.06,10,0.35,IRRECOVERABLE,3,0.097837
1.08,10,0.35,IRRECOVERABLE,3,0.470945
1.0,0,0.4,RECOVERABLE,1,0.002294
1.02,0,0.4,RECOVERABLE,1,0.002782
1.04,0,0.4,RECOVERABLE,1,0.003694
1.06,0,0.4,RECOVERABLE,1,0.005996
1.08,0,0.4,IRRECOVERABLE,3,0.014144
1.0,1,0.4,RECOVERABLE,1,0.002294
1.02,1,0.4,RECOVERABLE,1,0.002782
1.04,1,0.4,RECOVERABLE,1,0.003694
1.06,1,0.4,RECOVERABLE,1,0.005996
1.08,1,0.4,IRRECOVERABLE,3,0.014144
1.0,2,0.4,RECOVERABLE,1,0.004217
1.02,2,0.4,RECOVERABLE,1,0.005982
1.04,2,0.4,IRRECOVERABLE,3,0.013399
1.06,2,0.4,IRRECOVERABLE,3,0.055885
1.08,2,0.4,IRRECOVERABLE,3,0.337074
1.0,3,0.4,RECOVERABLE,1,0.005205
1.02,3,0.4,RECOVERABLE,1,0.008025
1.04,3,0.4,IRRECOVERABLE,3,0.016477
1.06,3,0.4,IRRECOVERABLE,3,0.048717
1.08,3,0.4,IRRECOVERABLE,3,0.200875
1.0,4,0.4,RECOVERABLE,1,0.004711
1.02,4,0.4,IRRECOVERABLE,3,0.008996
1.04,4,0.4,IRRECOVERABLE,3,0.02366
1.06,4,0.4,IRRECOVERABLE,3,0.088332
1.08,4,0.4,IRRECOVERABLE,3,0.443011
1.0,5,0.4,RECOVERABLE,1,0.004382
1.02,5,0.4,RECOVERABLE,1,0.007478
1.04,5,0.4,IRRECOVERABLE,3,0.017646
1.06,5,0.4,IRRECOVERABLE,3,0.055299
1.08,5,0.4,IRRECOVERABLE,3,0.218952
1.0,6,0.4,RECOVERABLE,1,0.004758
1.02,6,0.4,IRRECOVERABLE,3,0.009582
1.04,6,0.4,IRRECOVERABLE,3,0.026503
1.06,6,0.4,IRRECOVERABLE,3,0.097479
1.08,6,0.4,IRRECOVERABLE,3,0.446974
1.0,7,0.4,RECOVERABLE,1,0.007009
1.02,7,0.4,IRRECOVERABLE,3,0.013443
1.04,7,0.4,IRRECOVERABLE,3,0.037685
1.06,7,0.4,IRRECOVERABLE,3,0.158513
1.08,7,0.4,IRRECOVERABLE,3,0.857289
1.0,8,0.4,RECOVERABLE,1,0.004773
1.02,8,0.4,IRRECOVERABLE,3,0.009658
1.04,8,0.4,IRRECOVERABLE,3,0.027349
1.06,8,0.4,IRRECOVERABLE,3,0.106926
1.08,8,0.4,IRRECOVERABLE,3,0.538293
1.0,9,0.4,RECOVERABLE,1,0.005495
1.02,9,0.4,IRRECOVERABLE,3,0.010317
1.04,9,0.4,IRRECOVERABLE,3,0.029173
1.06,9,0.4,IRRECOVERABLE,3,0.130244
1.08,9,0.4,IRRECOVERABLE,3,0.764666
1.0,10,0.4,RECOVERABLE,1,0.006228
1.02,10,0.4,IRRECOVERABLE,3,0.011164
1.04,10,0.4,IRRECOVERABLE,3,0.027046
1.06,10,0.4,IRRECOVERABLE,3,0.092906
1.08,10,0.4,IRRECOVERABLE,3,0.421598
1.0,0,0.45,RECOVERABLE,1,0.002009
1.02,0,0.45,RECOVERABLE,1,0.002273
1.04,0,0.45,RECOVERABLE,1,0.002716
1.06,0,0.45,RECOVERABLE,1,0.003623
1.08,0,0.45,IRRECOVERABLE,3,0.006093
1.0,1,0.45,RECOVERABLE,1,0.002009
1.02,1,0.45,RECOVERABLE,1,0.002273
1.04,1,0.45,RECOVERABLE,1,0.002716
1.06,1,0.45,RECOVERABLE,1,0.003623
1.08,1,0.45,IRRECOVERABLE,3,0.006093
1.0,2,0.45,RECOVERABLE,1,0.003855
1.02,2,0.45,RECOVERABLE,1,0.005346
1.04,2,0.45,IRRECOVERABLE,3,0.010776
1.06,2,0.45,IRRECOVERABLE,3,0.044846
1.08,2,0.45,IRRECOVERABLE,3,0.289701
1.0,3,0.45,RECOVERABLE,1,0.005327
1.02,3,0.45,RECOVERABLE,1,0.008224
1.04,3,0.45,IRRECOVERABLE,3,0.016526
1.06,3,0.45,IRRECOVERABLE,3,0.046942
1.08,3,0.45,IRRECOVERABLE,3,0.179999
1.0,4,0.45,RECOVERABLE,1,0.004127
1.02,4,0.45,IRRECOVERABLE,3,0.007734
1.04,4,0.45,IRRECOVERABLE,3,0.019459
1.06,4,0.45,IRRECOVERABLE,3,0.067771
1.08,4,0.45,IRRECOVERABLE,3,0.311447
1.0,5,0.45,RECOVERABLE,1,0.004397
1.02,5,0.45,RECOVERABLE,1,0.007561
1.04,5,0.45,IRRECOVERABLE,3,0.017784
1.06,5,0.45,IRRECOVERABLE,3,0.055244
1.08,5,0.45,IRRECOVERABLE,3,0.212757
1.0,6,0.45,RECOVERABLE,1,0.004876
1.02,6,0.45,IRRECOVERABLE,3,0.00877
1.04,6,0.45,IRRECOVERABLE,3,0.022534
1.06,6,0.45,IRRECOVERABLE,3,0.077626
1.08,6,0.45,IRRECOVERABLE,3,0.339672
1.0,7,0.45,RECOVERABLE,1,0.007175
1.02,7,0.45,IRRECOVERABLE,3,0.013461
1.04,7,0.45,IRRECOVERABLE,3,0.036544
1.06,7,0.45,IRRECOVERABLE,3,0.149879
1.08,7,0.45,IRRECOVERABLE,3,0.802526
1.0,8,0.45,RECOVERABLE,1,0.004797
1.02,8,0.45,IRRECOVERABLE,3,0.009719
1.04,8,0.45,IRRECOVERABLE,3,0.027569
1.06,8,0.45,IRRECOVERABLE,3,0.107709
1.08,8,0.45,IRRECOVERABLE,3,0.541425
1.0,9,0.45,RECOVERABLE,1,0.005196
1.02,9,0.45,IRRECOVERABLE,3,0.009708
1.04,9,0.45,IRRECOVERABLE,3,0.026672
1.06,9,0.45,IRRECOVERABLE,3,0.115652
1.08,9,0.45,IRRECOVERABLE,3,0.657717
1.0,10,0.45,RECOVERABLE,1,0.006151
1.02,10,0.45,IRRECOVERABLE,3,0.01078
1.04,10,0.45,IRRECOVERABLE,3,0.025524
1.06,10,0.45,IRRECOVERABLE,3,0.083254
1.08,10,0.45,IRRECOVERABLE,3,0.36057
1.0,0,0.5,RECOVERABLE,1,0.001975
1.02,0,0.5,RECOVERABLE,1,0.002151
1.04,0,0.5,RECOVERABLE,1,0.00248
1.06,0,0.5,RECOVERABLE,1,0.003234
1.08,0,0.5,RECOVERABLE,1,0.005112
1.0,1,0.5,RECOVERABLE,1,0.001975
1.02,1,0.5,RECOVERABLE,1,0.002151
1.04,1,0.5,RECOVERABLE,1,0.00248
1.06,1,0.5,RECOVERABLE,1,0.003234
1.08,1,0.5,RECOVERABLE,1,0.005112
1.0,2,0.5,RECOVERABLE,1,0.003745
1.02,2,0.5,RECOVERABLE,1,0.004879
1.04,2,0.5,RECOVERABLE,1,0.008339
1.06,2,0.5,IRRECOVERABLE,3,0.028807
1.08,2,0.5,IRRECOVERABLE,3,0.157711
1.0,3,0.5,RECOVERABLE,1,0.005493
1.02,3,0.5,RECOVERABLE,1,0.008838
1.04,3,0.5,IRRECOVERABLE,3,0.020331
1.06,3,0.5,IRRECOVERABLE,3,0.077097
1.08,3,0.5,IRRECOVERABLE,3,0.428745
1.0,4,0.5,RECOVERABLE,1,0.004261
1.02,4,0.5,IRRECOVERABLE,3,0.00802
1.04,4,0.5,IRRECOVERABLE,3,0.020127
1.06,4,0.5,IRRECOVERABLE,3,0.07016
1.08,4,0.5,IRRECOVERABLE,3,0.323537
1.0,5,0.5,RECOVERABLE,1,0.004455
1.02,5,0.5,RECOVERABLE,1,0.007671
1.04,5,0.5,IRRECOVERABLE,3,0.018524
1.06,5,0.5,IRRECOVERABLE,3,0.063714
1.08,5,0.5,IRRECOVERABLE,3,0.270898
1.0,6,0.5,RECOVERABLE,1,0.004871
1.02,6,0.5,IRRECOVERABLE,3,0.00875
1.04,6,0.5,IRRECOVERABLE,3,0.02244
1.06,6,0.5,IRRECOVERABLE,3,0.077183
1.08,6,0.5,IRRECOVERABLE,3,0.337476
1.0,7,0.5,RECOVERABLE,1,0.00743
1.02,7,0.5,IRRECOVERABLE,3,0.013788
1.04,7,0.5,IRRECOVERABLE,3,0.036215
1.06,7,0.5,IRRECOVERABLE,3,0.142778
1.08,7,0.5,IRRECOVERABLE,3,0.738012
1.0,8,0.5,RECOVERABLE,1,0.004793
1.02,8,0.5,IRRECOVERABLE,3,0.009684
1.04,8,0.5,IRRECOVERABLE,3,0.026937
1.06,8,0.5,IRRECOVERABLE,3,0.104449
1.08,8,0.5,IRRECOVERABLE,3,0.52872
1.0,9,0.5,RECOVERABLE,1,0.00536
1.02,9,0.5,IRRECOVERABLE,3,0.010335
1.04,9,0.5,IRRECOVERABLE,3,0.030471
1.06,9,0.5,IRRECOVERABLE,3,0.133216
1.08,9,0.5,IRRECOVERABLE,3,0.742517
1.0,10,0.5,RECOVERABLE,1,0.006264
1.02,10,0.5,IRRECOVERABLE,3,0.011043
1.04,10,0.5,IRRECOVERABLE,3,0.026088
1.06,10,0.5,IRRECOVERABLE,3,0.08528
1.08,10,0.5,IRRECOVERABLE,3,0.370748
