gain,delay,p_mix,phase,phase_code,max_acceleration,max_velocity,final_variance
1.08,7,0.5,IRRECOVERABLE,3,5.371875,7.441197,52.627787
1.0,8,0.5,RECOVERABLE,1,0.007601,0.005716,0.0147
1.02,8,0.5,IRRECOVERABLE,3,0.027492,0.012024,0.064158
1.04,8,0.5,IRRECOVERABLE,3,0.100254,0.051731,0.541508
1.06,8,0.5,IRRECOVERABLE,3,0.554981,0.558139,5.072186
1.08,8,0.5,IRRECOVERABLE,3,4.13612,6.616839,46.330797
1.0,9,0.5,RECOVERABLE,1,0.010894,0.007713,0.018044
1.02,9,0.5,IRRECOVERABLE,3,0.021595,0.015795,0.090269
1.04,9,0.5,IRRECOVERABLE,3,0.13036,0.074211,0.687979
1.06,9,0.5,IRRECOVERABLE,3,0.987399,0.686637,6.031708
1.08,9,0.5,IRRECOVERABLE,3,7.46369,7.756367,53.861163
1.0,10,0.5,RECOVERABLE,1,0.012082,0.009796,0.040984
1.02,10,0.5,IRRECOVERABLE,3,0.031383,0.022882,0.186599
1.04,10,0.5,IRRECOVERABLE,3,0.118703,0.135846,1.300345
1.06,10,0.5,IRRECOVERABLE,3,0.618904,1.294773,10.847049
1.08,10,0.5,IRRECOVERABLE,3,3.812898,13.790607,94.686832
