gain,delay,p_mix,phase,phase_code,max_jerk,min_jerk,jerk_span,mean_abs_jerk,final_variance
1.08,1,0.25,IRRECOVERABLE,3,0.703878,-0.410554,1.114432,0.089501,2.631812
1.0,2,0.25,RECOVERABLE,1,0.017963,-0.014637,0.0326,0.005107,0.018672
1.02,2,0.25,IRRECOVERABLE,3,0.028331,-0.023734,0.052065,0.008348,0.056161
1.04,2,0.25,IRRECOVERABLE,3,0.139192,-0.106878,0.246071,0.019794,0.286949
1.06,2,0.25,IRRECOVERABLE,3,1.110386,-0.729755,1.840141,0.077474,2.011147
1.08,2,0.25,IRRECOVERABLE,3,9.522567,-5.860829,15.383396,0.453175,16.103804
1.0,3,0.25,RECOVERABLE,1,0.022379,-0.015986,0.038365,0.005992,0.009783
1.02,3,0.25,IRRECOVERABLE,3,0.041187,-0.026695,0.067883,0.010097,0.065331
1.04,3,0.25,IRRECOVERABLE,3,0.150523,-0.073949,0.224472,0.024182,0.557647
1.06,3,0.25,IRRECOVERABLE,3,0.63852,-0.304893,0.943413,0.088387,4.952958
1.08,3,0.25,IRRECOVERABLE,3,3.169772,-1.548606,4.718378,0.423427,43.567893
1.0,4,0.25,RECOVERABLE,1,0.019292,-0.018588,0.03788,0.005366,0.020935
1.02,4,0.25,IRRECOVERABLE,3,0.047097,-0.03523,0.082327,0.010257,0.100505
1.04,4,0.25,IRRECOVERABLE,3,0.179713,-0.114663,0.294376,0.027311,0.790933
1.06,4,0.25,IRRECOVERABLE,3,0.885996,-0.520487,1.406483,0.103371,7.200656
1.08,4,0.25,IRRECOVERABLE,3,5.332598,-3.008767,8.341365,0.503484,66.106528
1.0,5,0.25,RECOVERABLE,1,0.016186,-0.012935,0.029121,0.005264,0.019596
1.02,5,0.25,RECOVERABLE,1,0.029945,-0.027129,0.057074,0.009371,0.086505
1.04,5,0.25,IRRECOVERABLE,3,0.120565,-0.089578,0.210143,0.02291,0.622621
1.06,5,0.25,IRRECOVERABLE,3,0.619902,-0.392303,1.012206,0.078188,5.308488
1.08,5,0.25,IRRECOVERABLE,3,3.558323,-2.040752,5.599074,0.356201,46.685636
1.0,6,0.25,RECOVERABLE,1,0.017652,-0.017372,0.035024,0.005425,0.024162
1.02,6,0.25,IRRECOVERABLE,3,0.056685,-0.033659,0.090344,0.011687,0.101196
1.04,6,0.25,IRRECOVERABLE,3,0.284316,-0.146286,0.430602,0.032971,0.781517
1.06,6,0.25,IRRECOVERABLE,3,1.58222,-0.76537,2.34759,0.118169,7.179057
1.08,6,0.25,IRRECOVERABLE,3,9.028931,-4.678312,13.707243,0.504707,65.996156
1.0,7,0.25,RECOVERABLE,1,0.022998,-0.018069,0.041067,0.007368,0.020457
1.02,7,0.25,IRRECOVERABLE,3,0.066616,-0.047582,0.114198,0.014734,0.117503
1.04,7,0.25,IRRECOVERABLE,3,0.333535,-0.163228,0.496762,0.044743,1.00001
1.06,7,0.25,IRRECOVERABLE,3,2.163881,-1.086672,3.250554,0.205488,9.198912
1.08,7,0.25,IRRECOVERABLE,3,17.632806,-9.074817,26.707623,1.184839,83.505601
1.0,8,0.25,RECOVERABLE,1,0.013724,-0.012703,0.026427,0.005137,0.018009
1.02,8,0.25,IRRECOVERABLE,3,0.035753,-0.029827,0.065579,0.009705,0.107385
1.04,8,0.25,IRRECOVERABLE,3,0.237998,-0.132874,0.370872,0.023844,0.996246
1.06,8,0.25,IRRECOVERABLE,3,1.374285,-0.741272,2.115557,0.079525,9.415898
1.08,8,0.25,IRRECOVERABLE,3,7.579281,-4.067976,11.647257,0.335197,85.877427
1.0,9,0.25,RECOVERABLE,1,0.014684,-0.015371,0.030055,0.006441,0.034909
1.02,9,0.25,IRRECOVERABLE,3,0.042468,-0.038716,0.081184,0.012438,0.217726
1.04,9,0.25,IRRECOVERABLE,3,0.209744,-0.151536,0.36128,0.033426,1.814189
1.06,9,0.25,IRRECOVERABLE,3,1.463554,-0.875321,2.338876,0.130374,16.172058
1.08,9,0.25,IRRECOVERABLE,3,11.230829,-6.0965,17.327329,0.680515,143.625156
1.0,10,0.25,RECOVERABLE,1,0.017907,-0.013119,0.031026,0.006175,0.037922
1.02,10,0.25,IRRECOVERABLE,3,0.035783,-0.025906,0.061689,0.010689,0.217844
1.04,10,0.25,IRRECOVERABLE,3,0.100251,-0.059851,0.160102,0.020622,1.904746
1.06,10,0.25,IRRECOVERABLE,3,0.334549,-0.167065,0.501614,0.043221,18.034723
1.08,10,0.25,IRRECOVERABLE,3,1.352703,-0.850755,2.203459,0.142381,167.757774
1.0,0,0.3,RECOVERABLE,1,0.006899,-0.00662,0.013518,0.002578,0.005072
1.02,0,0.3,RECOVERABLE,1,0.007028,-0.008691,0.015719,0.003261,0.006935
1.04,0,0.3,RECOVERABLE,1,0.010268,-0.011341,0.021609,0.004538,0.015433
1.06,0,0.3,IRRECOVERABLE,3,0.038136,-0.032132,0.070268,0.009526,0.079257
1.08,0,0.3,IRRECOVERABLE,3,0.197193,-0.193579,0.390772,0.040816,0.629023
1.0,1,0.3,RECOVERABLE,1,0.006899,-0.00662,0.013518,0.002578,0.005072
1.02,1,0.3,RECOVERABLE,1,0.007028,-0.008691,0.015719,0.003261,0.006935
1.04,1,0.3,RECOVERABLE,1,0.010268,-0.011341,0.021609,0.004538,0.015433
1.06,1,0.3,IRRECOVERABLE,3,0.038136,-0.032132,0.070268,0.009526,0.079257
1.08,1,0.3,IRRECOVERABLE,3,0.197193,-0.193579,0.390772,0.040816,0.629023
1.0,2,0.3,RECOVERABLE,1,0.019547,-0.014894,0.034441,0.004762,0.014582
1.02,2,0.3,IRRECOVERABLE,3,0.026889,-0.029066,0.055955,0.007391,0.032032
1.04,2,0.3,IRRECOVERABLE,3,0.076461,-0.083203,0.159664,0.017708,0.135727
1.06,2,0.3,IRRECOVERABLE,3,0.550757,-0.437798,0.988555,0.072941,0.928001
1.08,2,0.3,IRRECOVERABLE,3,4.590281,-3.324986,7.915267,0.418611,7.584478
1.0,3,0.3,RECOVERABLE,1,0.020813,-0.014922,0.035735,0.005885,0.009936
1.02,3,0.3,IRRECOVERABLE,3,0.037953,-0.024503,0.062456,0.00967,0.059857
1.04,3,0.3,IRRECOVERABLE,3,0.115682,-0.058798,0.17448,0.021787,0.475113
1.06,3,0.3,IRRECOVERABLE,3,0.466545,-0.22012,0.686665,0.074745,4.045826
1.08,3,0.3,IRRECOVERABLE,3,1.97619,-1.020657,2.996847,0.345005,34.745134
